Ticker,Price,Trades,WinRate,AvgPL,M_List
SIDU,3.96,1,100.0,20.7,"90,120"
SOC,10.58,1,100.0,18.15,120
SKYT,25.16,1,100.0,12.09,120
SLS,5.0,1,100.0,11.8,"90,120"
TE,8.2,1,100.0,10.78,"60,90,120"
RDW,10.5,1,100.0,10.23,120
RJF,167.32,1,100.0,8.34,120
RCAT,10.76,1,100.0,7.82,120
IBIO,2.02,1,100.0,7.02,"90,120"
POET,7.45,1,100.0,6.79,"30,120"
NBY,5.7,1,100.0,5.85,"90,120"
LUNR,18.11,1,100.0,5.82,"90,120"
PONY,16.59,1,100.0,5.69,"15,30,60,90,120"
DJT,13.77,1,100.0,4.89,"60,90,120"
ZURA,4.8,1,100.0,4.87,"15,60,90,120"
FOXA,73.7,1,100.0,4.17,120
IMVT,25.91,1,100.0,4.15,120
VNCE,4.4,1,100.0,3.92,120
UMAC,15.5,1,100.0,3.63,"60,90,120"
MTA,8.12,2,100.0,3.6,"15,90,120"
SLI,4.84,1,100.0,3.47,120
ONTO,177.38,1,100.0,3.46,"30,90,120"
ERAS,3.59,1,100.0,3.25,120
VOYG,28.48,1,100.0,3.21,"15,30,60"
NRGV,4.88,1,100.0,3.2,"90,120"
UPST,50.7,3,100.0,3.16,"30,60,120"
MKSI,175.07,1,100.0,3.05,"90,120"
AGCC,10.47,1,100.0,2.85,15
RDDT,244.68,1,100.0,2.83,"30,60,90,120"
TBBB,35.16,1,100.0,2.82,"30,60,90,120"
ZM,86.53,1,100.0,2.8,15
SATL,2.3,1,100.0,2.67,120
RIVN,19.77,2,100.0,2.55,"60,90,120"
PLG,2.54,1,100.0,2.54,"60,90,120"
NFGC,3.12,1,100.0,2.44,"60,120"
WRBY,23.25,1,100.0,2.43,"90,120"
JMIA,12.83,1,100.0,2.37,"60,90,120"
ZIM,20.92,1,100.0,2.28,120
LODE,4.03,1,100.0,2.26,120
VLRS,9.35,1,100.0,2.2,60
RERE,5.84,1,100.0,2.17,120
ACRS,2.88,1,100.0,2.16,"90,120"
PACS,39.08,1,100.0,2.15,"15,30,60,90,120"
BFLY,3.75,1,100.0,2.03,"30,60,120"
NUE,168.22,1,100.0,2.0,60
WSM,191.76,1,100.0,1.95,"60,120"
KOD,26.02,1,100.0,1.95,120
ALHC,20.22,1,100.0,1.94,120
NEXA,9.14,1,100.0,1.92,"60,90,120"
LION,9.24,1,100.0,1.92,"90,120"
AEO,26.69,1,100.0,1.87,60
NEWP,3.56,1,100.0,1.85,"15,90,120"
DVAX,15.38,1,100.0,1.79,"90,120"
M,23.01,1,100.0,1.72,"30,120"
SNPS,494.19,1,100.0,1.72,"90,120"
SEZL,69.31,1,100.0,1.71,"60,90,120"
NCLH,22.51,2,100.0,1.71,"90,120"
TPG,67.65,1,100.0,1.68,"60,90,120"
CCO,2.12,1,100.0,1.63,"90,120"
DDL,2.66,1,100.0,1.61,"90,120"
RVLV,30.55,1,100.0,1.61,"60,90,120"
EVLV,6.7,1,100.0,1.52,120
NXPI,227.72,1,100.0,1.51,"90,120"
TPVG,6.65,2,100.0,1.5,30
CMTL,5.53,1,100.0,1.49,"90,120"
SN,110.96,4,100.0,1.45,"15,60,90,120"
SW,40.07,1,100.0,1.43,120
TNL,73.22,1,100.0,1.42,"30,60,90,120"
NX,15.88,1,100.0,1.4,120
AEVA,12.75,1,100.0,1.4,"90,120"
TECK,50.0,1,100.0,1.39,120
ASTI,4.06,1,100.0,1.37,"90,120"
GDS,38.34,1,100.0,1.3,"60,90,120"
EYPT,17.48,1,100.0,1.26,"90,120"
LYG,5.4,1,100.0,1.23,"90,120"
OC,115.75,1,100.0,1.23,120
PCAR,112.81,1,100.0,1.22,"90,120"
CARG,37.65,1,100.0,1.21,30
TTC,81.67,1,100.0,1.2,"90,120"
MAR,313.94,1,100.0,1.2,15
BBIO,78.24,1,100.0,1.19,120
NXDR,2.09,1,100.0,1.19,"90,120"
IMMP,2.95,1,100.0,1.19,"30,120"
SNDX,20.22,2,50.0,1.19,90
TDAY,5.31,1,100.0,1.17,"15,30,60,90,120"
WFC,96.38,1,100.0,1.15,120
SF,132.88,1,100.0,1.14,60
IMNM,20.82,1,100.0,1.13,"30,90,120"
NRXS,4.41,1,100.0,1.1,"60,90,120"
ODFL,164.57,1,100.0,1.07,120
ALTO,2.66,1,100.0,1.03,120
SHOP,166.21,1,100.0,1.03,"60,90,120"
SNDR,28.11,1,100.0,1.02,"60,90,120"
BTG,4.56,1,100.0,1.01,60
NTRS,144.37,1,100.0,1.01,"30,60,90,120"
RIO,83.12,1,100.0,1.01,60
TSLA,451.67,2,50.0,0.93,90
TWLO,136.24,2,50.0,0.92,60
NMRK,17.34,1,100.0,0.27,90
